Sample,Voltage,Problem
2,2.23,Interruption
3,3.25,Interruption
4,4.18,Interruption
5,4.99,Interruption
6,5.64,Interruption
7,6.12,Interruption
8,6.41,Interruption
9,6.51,Interruption
10,6.41,Interruption
11,6.12,Interruption
12,5.64,Interruption
13,4.99,Interruption
14,4.19,Interruption
15,3.26,Interruption
16,2.23,Interruption
17,1.14,Interruption
18,-1.12,Interruption
19,-2.22,Interruption
20,-3.25,Interruption
21,-4.18,Interruption
22,-4.98,Interruption
23,-5.63,Interruption
24,-6.11,Interruption
25,-6.41,Interruption
26,-6.51,Interruption
27,-6.41,Interruption
28,-6.12,Interruption
29,-5.65,Interruption
30,-5,Interruption
31,-4.2,Interruption
32,-3.27,Interruption
33,-2.24,Interruption
34,-1.15,Interruption
1,0.56,Interruption
2,1.11,Interruption
3,1.62,Interruption
4,2.09,Interruption
5,2.49,Interruption
6,2.81,Interruption
7,3.05,Interruption
8,3.2,Interruption
9,3.25,Interruption
10,3.2,Interruption
11,3.05,Interruption
12,2.82,Interruption
13,2.49,Interruption
14,2.09,Interruption
15,1.63,Interruption
16,1.12,Interruption
17,0.57,Interruption
18,-0.56,Interruption
19,-1.11,Interruption
20,-1.62,Interruption
21,-2.08,Interruption
22,-2.49,Interruption
23,-2.81,Interruption
24,-3.05,Interruption
25,-3.2,Interruption
26,-3.25,Interruption
27,-3.2,Interruption
28,-3.06,Interruption
29,-2.82,Interruption
30,-2.49,Interruption
31,-2.09,Interruption
32,-1.63,Interruption
33,-1.12,Interruption
34,-0.57,Interruption
1,0.35,Interruption
2,0.68,Interruption
3,1,Interruption
4,1.29,Interruption
5,1.53,Interruption
6,1.73,Interruption
7,1.88,Interruption
8,1.97,Interruption
9,2,Interruption
10,1.97,Interruption
11,1.88,Interruption
12,1.73,Interruption
13,1.53,Interruption
14,1.29,Interruption
15,1,Interruption
16,0.69,Interruption
17,0.35,Interruption
18,-0.34,Interruption
19,-0.68,Interruption
20,-1,Interruption
21,-1.28,Interruption
22,-1.53,Interruption
23,-1.73,Interruption
24,-1.88,Interruption
25,-1.97,Interruption
26,-2,Interruption
27,-1.97,Interruption
28,-1.88,Interruption
29,-1.73,Interruption
30,-1.54,Interruption
31,-1.29,Interruption
32,-1,Interruption
33,-0.69,Interruption
34,-0.35,Interruption
1,0.17,Interruption
2,0.34,Interruption
3,0.5,Interruption
4,0.64,Interruption
5,0.77,Interruption
6,0.87,Interruption
7,0.94,Interruption
8,0.98,Interruption
9,1,Interruption
10,0.98,Interruption
11,0.94,Interruption
12,0.87,Interruption
13,0.77,Interruption
14,0.64,Interruption
15,0.5,Interruption
16,0.34,Interruption
17,0.17,Interruption
18,-0.17,Interruption
19,-0.34,Interruption
20,-0.5,Interruption
21,-0.64,Interruption
22,-0.76,Interruption
23,-0.87,Interruption
24,-0.94,Interruption
25,-0.98,Interruption
26,-1,Interruption
27,-0.99,Interruption
28,-0.94,Interruption
29,-0.87,Interruption
30,-0.77,Interruption
31,-0.64,Interruption
32,-0.5,Interruption
33,-0.34,Interruption
34,-0.18,Interruption
1,0.09,Interruption
2,0.17,Interruption
3,0.25,Interruption
4,0.32,Interruption
5,0.38,Interruption
6,0.43,Interruption
7,0.47,Interruption
8,0.49,Interruption
9,0.5,Interruption
10,0.49,Interruption
11,0.47,Interruption
12,0.43,Interruption
13,0.38,Interruption
14,0.32,Interruption
15,0.25,Interruption
16,0.17,Interruption
17,0.09,Interruption
18,-0.09,Interruption
19,-0.17,Interruption
20,-0.25,Interruption
21,-0.32,Interruption
22,-0.38,Interruption
23,-0.43,Interruption
24,-0.47,Interruption
25,-0.49,Interruption
26,-0.5,Interruption
27,-0.49,Interruption
28,-0.47,Interruption
29,-0.43,Interruption
30,-0.38,Interruption
31,-0.32,Interruption
32,-0.25,Interruption
33,-0.17,Interruption
34,-0.09,Interruption
1,204.16,Harmonics
2,299.1,Harmonics
3,280.44,Harmonics
4,235,Harmonics
5,234.09,Harmonics
6,265.48,Harmonics
7,275.77,Harmonics
8,252.48,Harmonics
9,235.48,Harmonics
10,252.26,Harmonics
11,275.69,Harmonics
12,265.7,Harmonics
13,234.27,Harmonics
14,234.78,Harmonics
15,280.06,Harmonics
16,299.32,Harmonics
17,205.4,Harmonics
18,-202.92,Harmonics
19,-298.88,Harmonics
20,-280.81,Harmonics
21,-235.22,Harmonics
22,-233.91,Harmonics
23,-265.26,Harmonics
24,-275.84,Harmonics
25,-252.7,Harmonics
26,-235.48,Harmonics
27,-252.04,Harmonics
28,-275.6,Harmonics
29,-265.92,Harmonics
30,-234.46,Harmonics
31,-234.56,Harmonics
32,-279.68,Harmonics
33,-299.53,Harmonics
34,-206.62,Harmonics
1,214.5,Harmonics
2,312.26,Harmonics
3,288.69,Harmonics
4,236.81,Harmonics
5,233.04,Harmonics
6,264.35,Harmonics
7,273.68,Harmonics
8,247.73,Harmonics
9,229.19,Harmonics
10,247.49,Harmonics
11,273.58,Harmonics
12,264.57,Harmonics
13,233.21,Harmonics
14,236.56,Harmonics
15,288.25,Harmonics
16,312.46,Harmonics
17,215.79,Harmonics
18,-213.2,Harmonics
19,-312.05,Harmonics
20,-289.12,Harmonics
21,-237.07,Harmonics
22,-232.86,Harmonics
23,-264.14,Harmonics
24,-273.77,Harmonics
25,-247.97,Harmonics
26,-229.19,Harmonics
27,-247.26,Harmonics
28,-273.48,Harmonics
29,-264.79,Harmonics
30,-233.39,Harmonics
31,-236.31,Harmonics
32,-287.82,Harmonics
33,-312.65,Harmonics
34,-217.08,Harmonics
1,213.02,Harmonics
2,310.38,Harmonics
3,287.51,Harmonics
4,236.55,Harmonics
5,233.19,Harmonics
6,264.52,Harmonics
7,273.98,Harmonics
8,248.41,Harmonics
9,230.09,Harmonics
10,248.17,Harmonics
11,273.88,Harmonics
12,264.73,Harmonics
13,233.37,Harmonics
14,236.3,Harmonics
15,287.08,Harmonics
16,310.58,Harmonics
17,214.31,Harmonics
18,-211.73,Harmonics
19,-310.17,Harmonics
20,-287.93,Harmonics
21,-236.81,Harmonics
22,-233.01,Harmonics
23,-264.3,Harmonics
24,-274.07,Harmonics
25,-248.65,Harmonics
26,-230.09,Harmonics
27,-247.94,Harmonics
28,-273.79,Harmonics
29,-264.95,Harmonics
30,-233.55,Harmonics
31,-236.06,Harmonics
32,-286.66,Harmonics
33,-310.78,Harmonics
34,-215.58,Harmonics
1,195.3,Harmonics
2,287.83,Harmonics
3,273.36,Harmonics
4,233.44,Harmonics
5,234.99,Harmonics
6,266.45,Harmonics
7,277.56,Harmonics
8,256.55,Harmonics
9,240.86,Harmonics
10,256.35,Harmonics
11,277.49,Harmonics
12,266.67,Harmonics
13,235.18,Harmonics
14,233.25,Harmonics
15,273.03,Harmonics
16,288.06,Harmonics
17,196.49,Harmonics
18,-194.11,Harmonics
19,-287.59,Harmonics
20,-273.7,Harmonics
21,-233.62,Harmonics
22,-234.8,Harmonics
23,-266.23,Harmonics
24,-277.62,Harmonics
25,-256.75,Harmonics
26,-240.87,Harmonics
27,-256.15,Harmonics
28,-277.42,Harmonics
29,-266.89,Harmonics
30,-235.37,Harmonics
31,-233.07,Harmonics
32,-272.7,Harmonics
33,-288.28,Harmonics
34,-197.67,Harmonics
1,193.82,Harmonics
2,285.95,Harmonics
3,272.19,Harmonics
4,233.18,Harmonics
5,235.14,Harmonics
6,266.61,Harmonics
7,277.85,Harmonics
8,257.23,Harmonics
9,241.76,Harmonics
10,257.03,Harmonics
11,277.79,Harmonics
12,266.83,Harmonics
13,235.33,Harmonics
14,233,Harmonics
15,271.86,Harmonics
16,286.18,Harmonics
17,195,Harmonics
18,-192.64,Harmonics
19,-285.71,Harmonics
20,-272.51,Harmonics
21,-233.36,Harmonics
22,-234.95,Harmonics
23,-266.39,Harmonics
24,-277.91,Harmonics
25,-257.42,Harmonics
26,-241.76,Harmonics
27,-256.83,Harmonics
28,-277.72,Harmonics
29,-267.05,Harmonics
30,-235.52,Harmonics
31,-232.82,Harmonics
32,-271.53,Harmonics
33,-286.4,Harmonics
34,-196.17,Harmonics
1,192.35,Harmonics
2,284.07,Harmonics
3,271.01,Harmonics
4,232.92,Harmonics
5,235.29,Harmonics
6,266.78,Harmonics
7,278.15,Harmonics
8,257.9,Harmonics
9,242.66,Harmonics
10,257.71,Harmonics
11,278.09,Harmonics
12,266.99,Harmonics
13,235.48,Harmonics
14,232.74,Harmonics
15,270.69,Harmonics
16,284.3,Harmonics
17,193.52,Harmonics
18,-191.17,Harmonics
19,-283.83,Harmonics
20,-271.32,Harmonics
21,-233.09,Harmonics
22,-235.1,Harmonics
23,-266.56,Harmonics
24,-278.21,Harmonics
25,-258.1,Harmonics
26,-242.66,Harmonics
27,-257.52,Harmonics
28,-278.03,Harmonics
29,-267.21,Harmonics
30,-235.67,Harmonics
31,-232.57,Harmonics
32,-270.37,Harmonics
33,-284.53,Harmonics
34,-194.68,Harmonics
1,190.87,Harmonics
2,282.19,Harmonics
3,269.83,Harmonics
4,232.66,Harmonics
5,235.44,Harmonics
6,266.94,Harmonics
7,278.45,Harmonics
8,258.58,Harmonics
9,243.56,Harmonics
10,258.39,Harmonics
11,278.39,Harmonics
12,267.15,Harmonics
13,235.63,Harmonics
14,232.49,Harmonics
15,269.52,Harmonics
16,282.42,Harmonics
17,192.03,Harmonics
18,-189.7,Harmonics
19,-281.95,Harmonics
20,-270.14,Harmonics
21,-232.83,Harmonics
22,-235.25,Harmonics
23,-266.72,Harmonics
24,-278.51,Harmonics
25,-258.77,Harmonics
26,-243.56,Harmonics
27,-258.2,Harmonics
28,-278.33,Harmonics
29,-267.37,Harmonics
30,-235.82,Harmonics
31,-232.32,Harmonics
32,-269.21,Harmonics
33,-282.65,Harmonics
34,-193.19,Harmonics
1,202.69,Harmonics
2,297.22,Harmonics
3,279.26,Harmonics
4,234.74,Harmonics
5,234.24,Harmonics
6,265.65,Harmonics
7,276.06,Harmonics
8,253.16,Harmonics
9,236.37,Harmonics
10,252.94,Harmonics
11,275.99,Harmonics
12,265.86,Harmonics
13,234.42,Harmonics
14,234.52,Harmonics
15,278.89,Harmonics
16,297.44,Harmonics
17,203.91,Harmonics
18,-201.45,Harmonics
19,-297,Harmonics
20,-279.63,Harmonics
21,-234.95,Harmonics
22,-234.06,Harmonics
23,-265.43,Harmonics
24,-276.14,Harmonics
25,-253.37,Harmonics
26,-236.38,Harmonics
27,-252.73,Harmonics
28,-275.91,Harmonics
29,-266.08,Harmonics
30,-234.61,Harmonics
31,-234.31,Harmonics
32,-278.51,Harmonics
33,-297.65,Harmonics
34,-205.13,Harmonics
1,201.21,Harmonics
2,295.34,Harmonics
3,278.08,Harmonics
4,234.48,Harmonics
5,234.39,Harmonics
6,265.81,Harmonics
7,276.36,Harmonics
8,253.84,Harmonics
9,237.27,Harmonics
10,253.62,Harmonics
11,276.29,Harmonics
12,266.03,Harmonics
13,234.57,Harmonics
14,234.27,Harmonics
15,277.71,Harmonics
16,295.56,Harmonics
17,202.43,Harmonics
18,-199.98,Harmonics
19,-295.12,Harmonics
20,-278.44,Harmonics
21,-234.68,Harmonics
22,-234.2,Harmonics
23,-265.59,Harmonics
24,-276.43,Harmonics
25,-254.05,Harmonics
26,-237.27,Harmonics
27,-253.41,Harmonics
28,-276.21,Harmonics
29,-266.24,Harmonics
30,-234.76,Harmonics
31,-234.07,Harmonics
32,-277.35,Harmonics
33,-295.78,Harmonics
34,-203.64,Harmonics
1,199.73,Harmonics
2,293.47,Harmonics
3,276.9,Harmonics
4,234.22,Harmonics
5,234.54,Harmonics
6,265.97,Harmonics
7,276.66,Harmonics
8,254.51,Harmonics
9,238.17,Harmonics
10,254.3,Harmonics
11,276.59,Harmonics
12,266.19,Harmonics
13,234.72,Harmonics
14,234.01,Harmonics
15,276.54,Harmonics
16,293.69,Harmonics
17,200.94,Harmonics
18,-198.51,Harmonics
19,-293.24,Harmonics
20,-277.25,Harmonics
21,-234.42,Harmonics
22,-234.35,Harmonics
23,-265.75,Harmonics
24,-276.73,Harmonics
25,-254.72,Harmonics
26,-238.17,Harmonics
27,-254.1,Harmonics
28,-276.51,Harmonics
29,-266.4,Harmonics
30,-234.91,Harmonics
31,-233.82,Harmonics
32,-276.19,Harmonics
33,-293.9,Harmonics
34,-202.14,Harmonics
1,198.25,Harmonics
2,291.59,Harmonics
3,275.72,Harmonics
4,233.96,Harmonics
5,234.69,Harmonics
6,266.13,Harmonics
7,276.96,Harmonics
8,255.19,Harmonics
9,239.07,Harmonics
10,254.99,Harmonics
11,276.89,Harmonics
12,266.35,Harmonics
13,234.88,Harmonics
14,233.76,Harmonics
15,275.37,Harmonics
16,291.81,Harmonics
17,199.46,Harmonics
18,-197.05,Harmonics
19,-291.36,Harmonics
20,-276.07,Harmonics
21,-234.15,Harmonics
22,-234.5,Harmonics
23,-265.91,Harmonics
24,-277.03,Harmonics
25,-255.4,Harmonics
26,-239.07,Harmonics
27,-254.78,Harmonics
28,-276.82,Harmonics
29,-266.56,Harmonics
30,-235.06,Harmonics
31,-233.57,Harmonics
32,-275.02,Harmonics
33,-292.03,Harmonics
34,-200.65,Harmonics
1,196.78,Harmonics
2,289.71,Harmonics
3,274.54,Harmonics
4,233.7,Harmonics
5,234.84,Harmonics
6,266.29,Harmonics
7,277.26,Harmonics
8,255.87,Harmonics
9,239.97,Harmonics
10,255.67,Harmonics
11,277.19,Harmonics
12,266.51,Harmonics
13,235.03,Harmonics
14,233.51,Harmonics
15,274.2,Harmonics
16,289.93,Harmonics
17,197.97,Harmonics
18,-195.58,Harmonics
19,-289.48,Harmonics
20,-274.88,Harmonics
21,-233.89,Harmonics
22,-234.65,Harmonics
23,-266.07,Harmonics
24,-277.32,Harmonics
25,-256.07,Harmonics
26,-239.97,Harmonics
27,-255.46,Harmonics
28,-277.12,Harmonics
29,-266.73,Harmonics
30,-235.22,Harmonics
31,-233.32,Harmonics
32,-273.86,Harmonics
33,-290.15,Harmonics
34,-199.16,Harmonics
1,211.55,Harmonics
2,308.5,Harmonics
3,286.33,Harmonics
4,236.29,Harmonics
5,233.34,Harmonics
6,264.68,Harmonics
7,274.27,Harmonics
8,249.09,Harmonics
9,230.99,Harmonics
10,248.86,Harmonics
11,274.18,Harmonics
12,264.9,Harmonics
13,233.52,Harmonics
14,236.05,Harmonics
15,285.91,Harmonics
16,308.7,Harmonics
17,212.82,Harmonics
18,-210.27,Harmonics
19,-308.28,Harmonics
20,-286.74,Harmonics
21,-236.54,Harmonics
22,-233.16,Harmonics
23,-264.46,Harmonics
24,-274.36,Harmonics
25,-249.32,Harmonics
26,-230.99,Harmonics
27,-248.62,Harmonics
28,-274.09,Harmonics
29,-265.11,Harmonics
30,-233.7,Harmonics
31,-235.81,Harmonics
32,-285.49,Harmonics
33,-308.9,Harmonics
34,-214.09,Harmonics
1,210.07,Harmonics
2,306.62,Harmonics
3,285.15,Harmonics
4,236.03,Harmonics
5,233.49,Harmonics
6,264.84,Harmonics
7,274.57,Harmonics
8,249.77,Harmonics
9,231.88,Harmonics
10,249.54,Harmonics
11,274.48,Harmonics
12,265.06,Harmonics
13,233.67,Harmonics
14,235.8,Harmonics
15,284.74,Harmonics
16,306.83,Harmonics
17,211.34,Harmonics
18,-208.8,Harmonics
19,-306.4,Harmonics
20,-285.56,Harmonics
21,-236.28,Harmonics
22,-233.31,Harmonics
23,-264.62,Harmonics
24,-274.66,Harmonics
25,-250,Harmonics
26,-231.89,Harmonics
27,-249.31,Harmonics
28,-274.39,Harmonics
29,-265.27,Harmonics
30,-233.85,Harmonics
31,-235.56,Harmonics
32,-284.33,Harmonics
33,-307.03,Harmonics
34,-212.6,Harmonics
1,208.59,Harmonics
2,304.74,Harmonics
3,283.97,Harmonics
4,235.77,Harmonics
5,233.64,Harmonics
6,265,Harmonics
7,274.87,Harmonics
8,250.44,Harmonics
9,232.78,Harmonics
10,250.22,Harmonics
11,274.78,Harmonics
12,265.22,Harmonics
13,233.82,Harmonics
14,235.54,Harmonics
15,283.57,Harmonics
16,304.95,Harmonics
17,209.85,Harmonics
18,-207.33,Harmonics
19,-304.52,Harmonics
20,-284.37,Harmonics
21,-236.01,Harmonics
22,-233.46,Harmonics
23,-264.78,Harmonics
24,-274.95,Harmonics
25,-250.67,Harmonics
26,-232.78,Harmonics
27,-249.99,Harmonics
28,-274.7,Harmonics
29,-265.43,Harmonics
30,-234,Harmonics
31,-235.31,Harmonics
32,-283.17,Harmonics
33,-305.15,Harmonics
34,-211.1,Harmonics
1,207.12,Harmonics
2,302.86,Harmonics
3,282.79,Harmonics
4,235.51,Harmonics
5,233.79,Harmonics
6,265.16,Harmonics
7,275.17,Harmonics
8,251.12,Harmonics
9,233.68,Harmonics
10,250.9,Harmonics
11,275.09,Harmonics
12,265.38,Harmonics
13,233.97,Harmonics
14,235.29,Harmonics
15,282.4,Harmonics
16,303.07,Harmonics
17,208.37,Harmonics
18,-205.86,Harmonics
19,-302.64,Harmonics
20,-283.19,Harmonics
21,-235.75,Harmonics
22,-233.61,Harmonics
23,-264.94,Harmonics
24,-275.25,Harmonics
25,-251.35,Harmonics
26,-233.68,Harmonics
27,-250.68,Harmonics
28,-275,Harmonics
29,-265.6,Harmonics
30,-234.15,Harmonics
31,-235.06,Harmonics
32,-282,Harmonics
33,-303.28,Harmonics
34,-209.61,Harmonics
1,205.64,Harmonics
2,300.98,Harmonics
3,281.61,Harmonics
4,235.25,Harmonics
5,233.94,Harmonics
6,265.32,Harmonics
7,275.47,Harmonics
8,251.8,Harmonics
9,234.58,Harmonics
10,251.58,Harmonics
11,275.39,Harmonics
12,265.54,Harmonics
13,234.12,Harmonics
14,235.03,Harmonics
15,281.23,Harmonics
16,301.19,Harmonics
17,206.88,Harmonics
18,-204.39,Harmonics
19,-300.76,Harmonics
20,-282,Harmonics
21,-235.48,Harmonics
22,-233.76,Harmonics
23,-265.1,Harmonics
24,-275.55,Harmonics
25,-252.02,Harmonics
26,-234.58,Harmonics
27,-251.36,Harmonics
28,-275.3,Harmonics
29,-265.76,Harmonics
30,-234.3,Harmonics
31,-234.81,Harmonics
32,-280.84,Harmonics
33,-301.4,Harmonics
34,-208.12,Harmonics

